prior	after smooth	after rf
-3.500842549	-1.007608603	-0.953560632
-4.226616951	-0.867920986	-0.205058255
-4.840923199	-0.462573273	-0.362428544
-5.030043696	-0.218336191	-0.104801372
-5.097898581	1.254193513	0.157202058
-3.061073401	0.090866349	0.120871971
-4.626634415	-0.195520662	-0.371966137
-4.032465452	0.118050626	-0.058795873
-3.228475316	-0.492738449	-0.667631528
-2.779757585	0.270736877	0.030605718
-5.788341741	0.712007009	-0.856692985
-5.000113198	-0.631227321	-0.061134134
-4.490637068	-1.161019929	-0.43595556
-3.290181199	0.475972897	-0.502982575
-1.611312027	-0.150417487	-0.017466895
-4.041732077	-0.648556341	-0.648351235
-3.320016204	-0.3132012	-1.506939734
-3.800730912	0.39581012	0.178972114
-3.228475316	0.565824973	-0.658093935
-2.917220056	-0.808851248	-0.30722398
-4.523558053	-1.275928559	0.227848982
-5.269887631	-0.352347824	-1.043562547
-3.583354927	0.649766485	-1.325002734
-2.827381386	1.081992134	-0.064716947
-4.086858709	-0.652328581	-0.372138987
-4.086858709	0.047823446	-0.303580527
-5.539917033	-0.194782269	0.18329894
-4.365785397	-0.219330935	-0.109782692
-5.018422391	-0.139999756	-0.005313716
-4.356692565	-0.404335898	0
-4.231876772	0.057931706	-0.161887118
-4.616058834	-0.45958902	0.115651972
-4.277610574	0.400578917	0.08086718
-4.175632653	0.958528122	-0.31553873
-0.563307373	0.490180615	0.02861278
-4.939467894	0.851052853	0.767776257
-4.716049885	-0.194825906	-0.078879639
-4.119816291	-0.086621324	0.756491424
-5.118644183	0.123988712	-0.041326707
-2.817595304	-0.294564929	0.567850904
-3.156874807	0.620868482	-0.205058255
-4.393871293	0.944221732	0.387373057
-3.193558771	0.225936628	-0.266605222
-5.495297996	-0.01430639	0.100144729
-3.721833159	0.419654103	0.463416046
-5.252914584	0.569876489	0.810695426
-4.769332074	0.143063899	0.241344956
-4.812361093	0.291278395	0.236235662
-4.792772374	0.30140412	-0.31598438
-4.805336262	3.078540296	-0.637541678
-3.548956329	-0.682599572	-0.164001196
-4.538942344	-0.760197931	0.26916099
-4.817371875	-0.144809008	0.756627069
-3.270676145	-0.794345612	-0.012743513
-3.936058997	0.292570496	-1.938825378
-3.972810368	0.489164307	0.428649135
-5.921541776	0.178228223	-0.492716563
-2.263501483	-1.684286211	-0.092097764
-4.156878802	0.04875764	-0.386125421
-1.97055231	-0.993468532	0.035459718
-1.757958042	-0.593950277	0.535539104
-4.45900966	-0.18537892	-1.380242292
